ICD10,Description
T7401XA,"Adult neglect or abandonment, confirmed, initial encounter"
T7401XA,"Adult neglect or abandonment, confirmed, initial encounter"
T7402XA,"Child neglect or abandonment, confirmed, initial encounter"
T7402XA,"Child neglect or abandonment, confirmed, initial encounter"
T7411XA,"Adult physical abuse, confirmed, initial encounter"
T7412XA,"Child physical abuse, confirmed, initial encounter"
T7421XA,"Adult sexual abuse, confirmed, initial encounter"
T7422XA,"Child sexual abuse, confirmed, initial encounter"
T7431XA,"Adult psychological abuse, confirmed, initial encounter"
T7432XA,"Child psychological abuse, confirmed, initial encounter"
T7491XA,"Unspecified adult maltreatment, confirmed, initial encounter"
T7491XA,"Unspecified adult maltreatment, confirmed, initial encounter"
T7492XA,"Unspecified child maltreatment, confirmed, initial encounter"
T7492XA,"Unspecified child maltreatment, confirmed, initial encounter"
T7601XA,"Adult neglect or abandonment, suspected, initial encounter"
T7602XA,"Child neglect or abandonment, suspected, initial encounter"
T7611XA,"Adult physical abuse, suspected, initial encounter"
T7612XA,"Child physical abuse, suspected, initial encounter"
T7621XA,"Adult sexual abuse, suspected, initial encounter"
T7622XA,"Child sexual abuse, suspected, initial encounter"
T7631XA,"Adult psychological abuse, suspected, initial encounter"
T7632XA,"Child psychological abuse, suspected, initial encounter"
T7691XA,"Unspecified adult maltreatment, suspected, initial encounter"
T7691XA,"Unspecified adult maltreatment, suspected, initial encounter"
T7692XA,"Unspecified child maltreatment, suspected, initial encounter"
T7692XA,"Unspecified child maltreatment, suspected, initial encounter"
Y0701,"Husband, perpetrator of maltreatment and neglect"
Y0701,"Husband, perpetrator of maltreatment and neglect"
Y0702,"Wife, perpetrator of maltreatment and neglect"
Y0702,"Wife, perpetrator of maltreatment and neglect"
Y0703,"Male partner, perpetrator of maltreatment and neglect"
Y0703,"Male partner, perpetrator of maltreatment and neglect"
Y0704,"Female partner, perpetrator of maltreatment and neglect"
Y0704,"Female partner, perpetrator of maltreatment and neglect"
Y0711,"Biological father, perpetrator of maltreatment and neglect"
Y0711,"Biological father, perpetrator of maltreatment and neglect"
Y0712,"Biological mother, perpetrator of maltreatment and neglect"
Y0712,"Biological mother, perpetrator of maltreatment and neglect"
Y0713,"Adoptive father, perpetrator of maltreatment and neglect"
Y0713,"Adoptive father, perpetrator of maltreatment and neglect"
Y0714,"Adoptive mother, perpetrator of maltreatment and neglect"
Y0714,"Adoptive mother, perpetrator of maltreatment and neglect"
Y07410,"Brother, perpetrator of maltreatment and neglect"
Y07410,"Brother, perpetrator of maltreatment and neglect"
Y07411,"Sister, perpetrator of maltreatment and neglect"
Y07411,"Sister, perpetrator of maltreatment and neglect"
Y07420,"Foster father, perpetrator of maltreatment and neglect"
Y07420,"Foster father, perpetrator of maltreatment and neglect"
Y07421,"Foster mother, perpetrator of maltreatment and neglect"
Y07421,"Foster mother, perpetrator of maltreatment and neglect"
Y07430,"Stepfather, perpetrator of maltreatment and neglect"
Y07430,"Stepfather, perpetrator of maltreatment and neglect"
Y07432,"Male friend of parent, perpetrator of maltreat and neglect"
Y07432,"Male friend of parent, perpetrator of maltreat and neglect"
Y07433,"Stepmother, perpetrator of maltreatment and neglect"
Y07433,"Stepmother, perpetrator of maltreatment and neglect"
Y07434,"Female friend of parent, perp of maltreat and neglect"
Y07434,"Female friend of parent, perp of maltreat and neglect"
Y07435,"Stepbrother, perpetrator or maltreatment and neglect"
Y07435,"Stepbrother, perpetrator or maltreatment and neglect"
Y07436,"Stepsister, perpetrator of maltreatment and neglect"
Y07436,"Stepsister, perpetrator of maltreatment and neglect"
Y07490,"Male cousin, perpetrator of maltreatment and neglect"
Y07490,"Male cousin, perpetrator of maltreatment and neglect"
Y07491,"Female cousin, perpetrator of maltreatment and neglect"
Y07491,"Female cousin, perpetrator of maltreatment and neglect"
Y07499,"Other family member, perpetrator of maltreatment and neglect"
Y07499,"Other family member, perpetrator of maltreatment and neglect"
Y07499,"Other family member, perpetrator of maltreatment and neglect"
Y07499,"Other family member, perpetrator of maltreatment and neglect"
Y0750,"Unsp non-family member, perpetrator of maltreat and neglect"
Y0750,"Unsp non-family member, perpetrator of maltreat and neglect"
Y0750,"Unsp non-family member, perpetrator of maltreat and neglect"
Y07510,"At-home childcare provider, perp of maltreat and neglect"
Y07510,"At-home childcare provider, perp of maltreat and neglect"
Y07511,"Daycare center childcare prov, perp of maltreat and neglect"
Y07511,"Daycare center childcare prov, perp of maltreat and neglect"
Y07512,"At-home adultcare provider, perp of maltreat and neglect"
Y07512,"At-home adultcare provider, perp of maltreat and neglect"
Y07513,"Adultcare center provider, perp of maltreat and neglect"
Y07513,"Adultcare center provider, perp of maltreat and neglect"
Y07519,"Unsp daycare provider, perpetrator of maltreat and neglect"
Y07519,"Unsp daycare provider, perpetrator of maltreat and neglect"
Y07521,"Mental health provider, perpetrator of maltreat and neglect"
Y07521,"Mental health provider, perpetrator of maltreat and neglect"
Y07528,"Oth therapist or healthcare prov, perp of maltreat & neglect"
Y07528,"Oth therapist or healthcare prov, perp of maltreat & neglect"
Y07529,"Unsp healthcare provider, perp of maltreat and neglect"
Y07529,"Unsp healthcare provider, perp of maltreat and neglect"
Y0753,"Teacher or instructor, perpetrator of maltreat and neglect"
Y0753,"Teacher or instructor, perpetrator of maltreat and neglect"
Y0759,"Oth non-family member, perpetrator of maltreat and neglect"
Y0759,"Oth non-family member, perpetrator of maltreat and neglect"
Y079,Unspecified perpetrator of maltreatment and neglect
Z69010,Encntr for mental hlth serv for victim of prntl child abuse
Z69020,Encntr for mntl hlth serv for vctm of non-prntl child abuse
Z6911,Encntr for mntl hlth serv for victim of spous or prtnr abuse
Z91410,Personal history of adult physical and sexual abuse
Z91411,Personal history of adult psychological abuse
Z91412,Personal history of adult neglect
T360X3A,"Poisoning by penicillins, assault, initial encounter"
T360X3A,"Poisoning by penicillins, assault, initial encounter"
T360X3S,"Poisoning by penicillins, assault, sequela"
T360X3S,"Poisoning by penicillins, assault, sequela"
T361X3A,"Poisn by cephalospor/oth beta-lactm antibiot, assault, init"
T361X3A,"Poisn by cephalospor/oth beta-lactm antibiot, assault, init"
T361X3S,"Poisn by cephalospor/oth beta-lactm antibiot, asslt, sequela"
T361X3S,"Poisn by cephalospor/oth beta-lactm antibiot, asslt, sequela"
T362X3A,"Poisoning by chloramphenicol group, assault, init encntr"
T362X3A,"Poisoning by chloramphenicol group, assault, init encntr"
T362X3S,"Poisoning by chloramphenicol group, assault, sequela"
T362X3S,"Poisoning by chloramphenicol group, assault, sequela"
T363X3A,"Poisoning by macrolides, assault, initial encounter"
T363X3A,"Poisoning by macrolides, assault, initial encounter"
T363X3S,"Poisoning by macrolides, assault, sequela"
T363X3S,"Poisoning by macrolides, assault, sequela"
T364X3A,"Poisoning by tetracyclines, assault, initial encounter"
T364X3A,"Poisoning by tetracyclines, assault, initial encounter"
T364X3S,"Poisoning by tetracyclines, assault, sequela"
T364X3S,"Poisoning by tetracyclines, assault, sequela"
T365X3A,"Poisoning by aminoglycosides, assault, initial encounter"
T365X3A,"Poisoning by aminoglycosides, assault, initial encounter"
T365X3S,"Poisoning by aminoglycosides, assault, sequela"
T365X3S,"Poisoning by aminoglycosides, assault, sequela"
T366X3A,"Poisoning by rifampicins, assault, initial encounter"
T366X3A,"Poisoning by rifampicins, assault, initial encounter"
T366X3S,"Poisoning by rifampicins, assault, sequela"
T366X3S,"Poisoning by rifampicins, assault, sequela"
T367X3A,"Poisoning by antifungal antibiotics, sys used, assault, init"
T367X3A,"Poisoning by antifungal antibiotics, sys used, assault, init"
T367X3S,"Poisoning by antifungal antibiot, sys used, assault, sequela"
T367X3S,"Poisoning by antifungal antibiot, sys used, assault, sequela"
T368X3A,"Poisoning by oth systemic antibiotics, assault, init encntr"
T368X3A,"Poisoning by oth systemic antibiotics, assault, init encntr"
T368X3S,"Poisoning by other systemic antibiotics, assault, sequela"
T368X3S,"Poisoning by other systemic antibiotics, assault, sequela"
T3693XA,"Poisoning by unsp systemic antibiotic, assault, init encntr"
T3693XA,"Poisoning by unsp systemic antibiotic, assault, init encntr"
T3693XS,"Poisoning by unsp systemic antibiotic, assault, sequela"
T3693XS,"Poisoning by unsp systemic antibiotic, assault, sequela"
T370X3A,"Poisoning by sulfonamides, assault, initial encounter"
T370X3A,"Poisoning by sulfonamides, assault, initial encounter"
T370X3S,"Poisoning by sulfonamides, assault, sequela"
T370X3S,"Poisoning by sulfonamides, assault, sequela"
T371X3A,"Poisoning by antimycobacterial drugs, assault, init encntr"
T371X3A,"Poisoning by antimycobacterial drugs, assault, init encntr"
T371X3S,"Poisoning by antimycobacterial drugs, assault, sequela"
T371X3S,"Poisoning by antimycobacterial drugs, assault, sequela"
T372X3A,"Poisn by antimalari/drugs acting on bld protzoa, asslt, init"
T372X3A,"Poisn by antimalari/drugs acting on bld protzoa, asslt, init"
T372X3S,"Poisn by antimalari/drugs acting on bld protzoa, asslt, sqla"
T372X3S,"Poisn by antimalari/drugs acting on bld protzoa, asslt, sqla"
T373X3A,"Poisoning by other antiprotozoal drugs, assault, init encntr"
T373X3A,"Poisoning by other antiprotozoal drugs, assault, init encntr"
T373X3S,"Poisoning by other antiprotozoal drugs, assault, sequela"
T373X3S,"Poisoning by other antiprotozoal drugs, assault, sequela"
T374X3A,"Poisoning by anthelminthics, assault, initial encounter"
T374X3A,"Poisoning by anthelminthics, assault, initial encounter"
T374X3S,"Poisoning by anthelminthics, assault, sequela"
T374X3S,"Poisoning by anthelminthics, assault, sequela"
T375X3A,"Poisoning by antiviral drugs, assault, initial encounter"
T375X3A,"Poisoning by antiviral drugs, assault, initial encounter"
T375X3S,"Poisoning by antiviral drugs, assault, sequela"
T375X3S,"Poisoning by antiviral drugs, assault, sequela"
T378X3A,"Poisoning by oth systemic anti-infect/parasit, assault, init"
T378X3A,"Poisoning by oth systemic anti-infect/parasit, assault, init"
T378X3S,"Poisn by oth systemic anti-infect/parasit, assault, sequela"
T378X3S,"Poisn by oth systemic anti-infect/parasit, assault, sequela"
T3793XA,"Poisn by unsp sys anti-infect and antiparastc, assault, init"
T3793XA,"Poisn by unsp sys anti-infect and antiparastc, assault, init"
T3793XS,"Poisn by unsp sys anti-infect and antiparastc, asslt, sqla"
T3793XS,"Poisn by unsp sys anti-infect and antiparastc, asslt, sqla"
T380X3A,"Poisoning by glucocort/synth analog, assault, init"
T380X3A,"Poisoning by glucocort/synth analog, assault, init"
T380X3S,"Poisoning by glucocort/synth analog, assault, sequela"
T380X3S,"Poisoning by glucocort/synth analog, assault, sequela"
T381X3A,"Poisoning by thyroid hormones and substitutes, assault, init"
T381X3A,"Poisoning by thyroid hormones and substitutes, assault, init"
T381X3S,"Poisoning by thyroid hormones and sub, assault, sequela"
T381X3S,"Poisoning by thyroid hormones and sub, assault, sequela"
T382X3A,"Poisoning by antithyroid drugs, assault, initial encounter"
T382X3A,"Poisoning by antithyroid drugs, assault, initial encounter"
T382X3S,"Poisoning by antithyroid drugs, assault, sequela"
T382X3S,"Poisoning by antithyroid drugs, assault, sequela"
T383X3A,"Poisn by insulin and oral hypoglycemic drugs, assault, init"
T383X3A,"Poisn by insulin and oral hypoglycemic drugs, assault, init"
T383X3S,"Poisn by insulin and oral hypoglycemic drugs, asslt, sequela"
T383X3S,"Poisn by insulin and oral hypoglycemic drugs, asslt, sequela"
T384X3A,"Poisoning by oral contraceptives, assault, initial encounter"
T384X3A,"Poisoning by oral contraceptives, assault, initial encounter"
T384X3S,"Poisoning by oral contraceptives, assault, sequela"
T384X3S,"Poisoning by oral contraceptives, assault, sequela"
T385X3A,"Poisoning by oth estrogens and progestogens, assault, init"
T385X3A,"Poisoning by oth estrogens and progestogens, assault, init"
T385X3S,"Poisoning by oth estrogens and progstrn, assault, sequela"
T385X3S,"Poisoning by oth estrogens and progstrn, assault, sequela"
T386X3A,"Poisn by antigonadtr/antiestr/antiandrg, NEC, assault, init"
T386X3A,"Poisn by antigonadtr/antiestr/antiandrg, NEC, assault, init"
T386X3S,"Poisn by antigonadtr/antiestr/antiandrg, NEC, asslt, sequela"
T386X3S,"Poisn by antigonadtr/antiestr/antiandrg, NEC, asslt, sequela"
T387X3A,"Poisoning by androgens and anabolic congeners, assault, init"
T387X3A,"Poisoning by androgens and anabolic congeners, assault, init"
T387X3S,"Poisn by androgens and anabolic congeners, assault, sequela"
T387X3S,"Poisn by androgens and anabolic congeners, assault, sequela"
T38803A,"Poisoning by unsp hormones and synthetic sub, assault, init"
T38803A,"Poisoning by unsp hormones and synthetic sub, assault, init"
T38803S,"Poisn by unsp hormones and synthetic sub, assault, sequela"
T38803S,"Poisn by unsp hormones and synthetic sub, assault, sequela"
T38813A,"Poisoning by anterior pituitary hormones, assault, init"
T38813A,"Poisoning by anterior pituitary hormones, assault, init"
T38813S,"Poisoning by anterior pituitary hormones, assault, sequela"
T38813S,"Poisoning by anterior pituitary hormones, assault, sequela"
T38893A,"Poisoning by oth hormones and synthetic sub, assault, init"
T38893A,"Poisoning by oth hormones and synthetic sub, assault, init"
T38893S,"Poisn by oth hormones and synthetic sub, assault, sequela"
T38893S,"Poisn by oth hormones and synthetic sub, assault, sequela"
T38903A,"Poisoning by unsp hormone antagonists, assault, init encntr"
T38903A,"Poisoning by unsp hormone antagonists, assault, init encntr"
T38903S,"Poisoning by unsp hormone antagonists, assault, sequela"
T38903S,"Poisoning by unsp hormone antagonists, assault, sequela"
T38993A,"Poisoning by other hormone antagonists, assault, init encntr"
T38993A,"Poisoning by other hormone antagonists, assault, init encntr"
T38993S,"Poisoning by other hormone antagonists, assault, sequela"
T38993S,"Poisoning by other hormone antagonists, assault, sequela"
T39013A,"Poisoning by aspirin, assault, initial encounter"
T39013A,"Poisoning by aspirin, assault, initial encounter"
T39013S,"Poisoning by aspirin, assault, sequela"
T39013S,"Poisoning by aspirin, assault, sequela"
T39093A,"Poisoning by salicylates, assault, initial encounter"
T39093A,"Poisoning by salicylates, assault, initial encounter"
T39093S,"Poisoning by salicylates, assault, sequela"
T39093S,"Poisoning by salicylates, assault, sequela"
T391X3A,"Poisoning by 4-Aminophenol derivatives, assault, init encntr"
T391X3A,"Poisoning by 4-Aminophenol derivatives, assault, init encntr"
T391X3S,"Poisoning by 4-Aminophenol derivatives, assault, sequela"
T391X3S,"Poisoning by 4-Aminophenol derivatives, assault, sequela"
T392X3A,"Poisoning by pyrazolone derivatives, assault, init encntr"
T392X3A,"Poisoning by pyrazolone derivatives, assault, init encntr"
T392X3S,"Poisoning by pyrazolone derivatives, assault, sequela"
T392X3S,"Poisoning by pyrazolone derivatives, assault, sequela"
T39313A,"Poisoning by propionic acid derivatives, assault, init"
T39313A,"Poisoning by propionic acid derivatives, assault, init"
T39313S,"Poisoning by propionic acid derivatives, assault, sequela"
T39313S,"Poisoning by propionic acid derivatives, assault, sequela"
T39393A,"Poisoning by oth nonsteroid anti-inflam drugs, assault, init"
T39393A,"Poisoning by oth nonsteroid anti-inflam drugs, assault, init"
T39393S,"Poisn by oth nonsteroid anti-inflam drugs, assault, sequela"
T39393S,"Poisn by oth nonsteroid anti-inflam drugs, assault, sequela"
T394X3A,"Poisoning by antirheumatics, NEC, assault, init"
T394X3A,"Poisoning by antirheumatics, NEC, assault, init"
T394X3S,"Poisoning by antirheumatics, NEC, assault, sequela"
T394X3S,"Poisoning by antirheumatics, NEC, assault, sequela"
T398X3A,"Poisn by oth nonopio analges/antipyret, NEC, assault, init"
T398X3A,"Poisn by oth nonopio analges/antipyret, NEC, assault, init"
T398X3A,"Poisn by oth nonopio analges/antipyret, NEC, assault, init"
T398X3S,"Poisn by oth nonopio analges/antipyret, NEC, asslt, sequela"
T398X3S,"Poisn by oth nonopio analges/antipyret, NEC, asslt, sequela"
T3993XA,"Poisn by unsp nonopi analgs/antipyr/antirheu, assault, init"
T3993XA,"Poisn by unsp nonopi analgs/antipyr/antirheu, assault, init"
T3993XS,"Poisn by unsp nonopi analgs/antipyr/antirheu, asslt, sequela"
T3993XS,"Poisn by unsp nonopi analgs/antipyr/antirheu, asslt, sequela"
T400X3A,"Poisoning by opium, assault, initial encounter"
T400X3A,"Poisoning by opium, assault, initial encounter"
T400X3S,"Poisoning by opium, assault, sequela"
T400X3S,"Poisoning by opium, assault, sequela"
T401X3A,"Poisoning by heroin, assault, initial encounter"
T401X3A,"Poisoning by heroin, assault, initial encounter"
T401X3S,"Poisoning by heroin, assault, sequela"
T401X3S,"Poisoning by heroin, assault, sequela"
T402X3A,"Poisoning by other opioids, assault, initial encounter"
T402X3A,"Poisoning by other opioids, assault, initial encounter"
T402X3S,"Poisoning by other opioids, assault, sequela"
T402X3S,"Poisoning by other opioids, assault, sequela"
T403X3A,"Poisoning by methadone, assault, initial encounter"
T403X3A,"Poisoning by methadone, assault, initial encounter"
T403X3S,"Poisoning by methadone, assault, sequela"
T403X3S,"Poisoning by methadone, assault, sequela"
T404X3A,"Poisoning by other synthetic narcotics, assault, init encntr"
T404X3A,"Poisoning by other synthetic narcotics, assault, init encntr"
T404X3S,"Poisoning by other synthetic narcotics, assault, sequela"
